
#ALUMNO: ANGEL, GINER VIDAL
#EJERCICIO 3.8


Para un valor de 0.0000001 como distancia mínima de desplazamiento antes de considerarse la k como solución, obtenemos 2 k:

k= 0.49999999999999956, con un máximo de 2 iteraciones, se detiene el punto (0.9999999999999982, 1.0)

('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 156, ' Punto(', 0.9998105533724786, 0.9996135339332886)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 157, ' Punto(', 0.9998106056419879, 0.9996136405520384)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 158, ' Punto(', 0.999810657566343, 0.999613746466752)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 159, ' Punto(', 0.9998107091499796, 0.9996138516864771)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 160, ' Punto(', 0.9998107603972489, 0.9996139562200891)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 161, ' Punto(', 0.99981081131242, 0.9996140600762958)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 162, ' Punto(', 0.9998108618996816, 0.9996141632636414)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 163, ' Punto(', 0.9998109121631443, 0.9996142657905106)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 164, ' Punto(', 0.9998109621068425, 0.9996143676651323)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 165, ' Punto(', 0.9998110117347361, 0.999614468895584)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 166, ' Punto(', 0.9998110610507124, 0.9996145694897949)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 167, ' Punto(', 0.9998111100585878, 0.9996146694555496)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 168, ' Punto(', 0.9998111587621097, 0.9996147688004917)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 169, ' Punto(', 0.999811207164958, 0.9996148675321274)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 170, ' Punto(', 0.9998112552707465, 0.9996149656578283)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 171, ' Punto(', 0.999811303083025, 0.9996150631848348)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 172, ' Punto(', 0.9998113506052804, 0.9996151601202594)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 173, ' Punto(', 0.999811397840938, 0.9996152564710893)
